Year	Month	Speaker	Title	MP3
1972	04	Franklin D. Richards	The Importance of Prayer	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3040-elder-franklin-d-richards-64k-eng.mp3
1972	04	Alvin R. Dyer	The Last Dispensation	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2030-elder-alvin-r-dyer-64k-eng.mp3
1972	04	Milton R. Hunter	The Miracle of Missionary Work	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2020-elder-milton-r-hunter-64k-eng.mp3
1972	04	N. Eldon Tanner	The Priesthood:A Royal Army	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5060-president-n-eldon-tanner-64k-eng.mp3
1972	04	Harold B. Lee	The Strength of the Priesthood	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5070-president-harold-b-lee-64k-eng.mp3
1972	04	Bruce R. McConkie	The Testimony of Jesus	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6040-elder-bruce-r-mcconkie-64k-eng.mp3
1972	04	LeGrand Richards	The True Church	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7010-elder-legrand-richards-64k-eng.mp3
1972	04	Loren C. Dunn	We Are Called of God	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1060-elder-loren-c-dunn-64k-eng.mp3
1972	04	Marvin J. Ashton	What Is Your Destination?	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3020-elder-marvin-j-ashton-64k-eng.mp3
1972	04	Gordon B. Hinckley	What Will the Church Do for You, a Man?	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4010-elder-gordon-b-hinckley-64k-eng.mp3
1972	04	John H. Vandenberg	Whence Cometh Our Peace?	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7060-elder-john-h-vandenberg-64k-eng.mp3
1972	04	Boyd K. Packer	Why Stay Morally Clean	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6050-elder-boyd-k-packer-64k-eng.mp3
1972	10	Harold B. Lee	A Blessing for the Saints	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-7080-president-harold-b-lee-64k-eng.mp3
1972	10	Harold B. Lee	Admonitions for the Priesthood of God	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-5050-president-harold-b-lee-64k-eng.mp3
1972	10	A. Theodore Tuttle	Altar, Tent, Well	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3030-elder-a-theodore-tuttle-64k-eng.mp3
1972	10	Rex D. Pinegar	An Instrument in the Hands of the Lord	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-7060-elder-rex-d-pinegar-64k-eng.mp3
1972	10	Mark E. Petersen	Another Prophet Now Has Come!	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-6050-elder-mark-e-petersen-64k-eng.mp3
1972	10	John H. Vandenberg	Becoming a Somebody	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-1040-elder-john-h-vandenberg-64k-eng.mp3
1972	10	Victor L. Brown	By Love, Serve One Another	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3040-bishop-victor-l-brown-64k-eng.mp3
1972	10	Marion G. Romney	Caring for the Poor and Needy	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-5030-president-marion-g-romney-64k-eng.mp3
1972	10	Bernard P. Brockbank	Entrance into the Kingdom of God	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2020-elder-bernard-p-brockbank-64k-eng.mp3
1972	10	Marion D. Hanks	Every Man in His Own Place	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-7040-elder-marion-d-hanks-64k-eng.mp3
1972	10	Theodore M. Burton	Genealogy:A Personal Responsibility	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2050-elder-theodore-m-burton-64k-eng.mp3
1972	10	Thomas S. Monson	Hands	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-7010-elder-thomas-s-monson-64k-eng.mp3
1972	10	H. Burke Peterson	Harmony in the Home	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-6040-bishop-h-burke-peterson-64k-eng.mp3
1972	10	S. Dilworth Young	Having Been Born of Goodly Parents	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-7020-elder-s-dilworth-young-64k-eng.mp3
1972	10	James A. Cullimore	Home Teachers—Watchmen over the Church	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-7030-elder-james-a-cullimore-64k-eng.mp3
1972	10	Loren C. Dunn	How to Gain a Testimony	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4060-elder-loren-c-dunn-64k-eng.mp3
1972	10	Bruce R. McConkie	I Know That My Redeemer Lives	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-1030-elder-bruce-r-mcconkie-64k-eng.mp3
1972	10	Sterling W. Sill	Keep the Commandments	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4050-elder-sterling-w-sill-64k-eng.mp3
1972	10	Joseph Anderson	Light and Knowledge to the World	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2030-elder-joseph-anderson-64k-eng.mp3
1972	10	Ezra Taft Benson	Listen to a Prophet’s Voice	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2070-elder-ezra-taft-benson-64k-eng.mp3
1972	10	Hartman Rector, Jr.	Live above the Law to Be Free	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-7050-elder-hartman-rector-jr-64k-eng.mp3
1972	10	Harold B. Lee	May the Kingdom of God Go Forth	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-1020-president-harold-b-lee-64k-eng.mp3
1972	10	David B. Haight	Planting Gospel Seeds of Spirituality	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4020-elder-david-b-haight-64k-eng.mp3
1972	10	Robert L. Simpson	Pollution of the Mind	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-6030-elder-robert-l-simpson-64k-eng.mp3
1972	10	Howard W. Hunter	Spiritual Famine	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3020-elder-howard-w-hunter-64k-eng.mp3
1972	10	LeGrand Richards	Strange Creeds of Christendom	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-6020-elder-legrand-richards-64k-eng.mp3
1972	10	Paul H. Dunn	Strengthen Thy Brethren	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4070-elder-paul-h-dunn-64k-eng.mp3
1972	10	Harold B. Lee	Teach the Gospel of Salvation	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3010-president-harold-b-lee-64k-eng.mp3
1972	10	N. Eldon Tanner	The Priesthood and Its Presidency	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-5040-president-n-eldon-tanner-64k-eng.mp3
1972	10	Boyd K. Packer	The Saints Securely Dwell	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4080-elder-boyd-k-packer-64k-eng.mp3
1972	10	Vaughn J. Featherstone	The Sure Word of God	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-5020-bishop-vaughn-j-featherstone-64k-eng.mp3
1972	10	L. Tom Perry	Three Pledges	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-7070-elder-l-tom-perry-64k-eng.mp3
1972	10	Franklin D. Richards	Thy Will Be Done, O Lord	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4010-elder-franklin-d-richards-64k-eng.mp3
1972	10	James E. Faust	To Become One of the Fishers	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4040-elder-james-e-faust-64k-eng.mp3
1972	10	O. Leslie Stone	To Serve the Master	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4030-elder-o-leslie-stone-64k-eng.mp3
1972	10	N. Eldon Tanner	Warnings from Outer Space	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-6010-president-n-eldon-tanner-64k-eng.mp3
1972	10	Gordon B. Hinckley	Watch the Switches in Your Life	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-5010-elder-gordon-b-hinckley-64k-eng.mp3
1972	10	ElRay L. Christiansen	We Have Made Covenants with the Lord	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2040-elder-eiray-l-christiansen-64k-eng.mp3
1972	10	Spencer W. Kimball	We Thank Thee, O God, for a Prophet	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-1050-president-spencer-w-kimball-64k-eng.mp3
1972	10	Marvin J. Ashton	What Is a Friend?	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2010-elder-marvin-j-ashton-64k-eng.mp3
1972	10	Eldred G. Smith	Why Do Latter-day Saints Build Temples?	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2060-elder-eldred-g-smith-64k-eng.mp3
1972	10	Marion G. Romney	Why The Church of Jesus Christ of Latter-day Saints	http://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3050-president-marion-g-romney-64k-eng.mp3
1973	04	Loren C. Dunn	A Second Witness for Christ	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-3030-elder-loren-c-dunn-64k-eng.mp3
1973	04	Henry D. Taylor	And Always Remember Him	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-3040-elder-henry-d-taylor-64k-eng.mp3
1973	04	Boyd K. Packer	Behold Your Little Ones	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-4010-elder-boyd-k-packer-64k-eng.mp3
1973	04	L. Tom Perry	Consider Your Ways	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-1030-elder-l-tom-perry-64k-eng.mp3
1973	04	Harold B. Lee	Follow the Leadership of the Church	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-5060-president-harold-b-lee-64k-eng.mp3
1973	04	Robert L. Simpson	Go, and Do Thou Likewise	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-1040-elder-robert-l-simpson-64k-eng.mp3
1973	04	LeGrand Richards	He Has Sent His Messenger to Prepare the Way	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-4060-elder-legrand-richards-64k-eng.mp3
1973	04	Sterling W. Sill	Hold Up Your Hands	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-6030-elder-sterling-w-sill-64k-eng.mp3
1973	04	Marvin J. Ashton	In His Strength	http://media2.ldscdn.org/assets/general-conference/april-1973-general-conference/1973-04-1050-elder-marvin-j-ashton-64k-eng.mp3
